"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-08","0.00","69","44"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-09","0.00","63","47"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-10","0.10","63","43"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-11","0.33","58","53"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-12","0.00","64","48"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-13","0.00","63","44"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-14","0.00","61","44"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-15","0.49","61","49"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-16","0.94","53","47"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-17","0.35","51","43"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-18","0.22","53","37"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-19","0.65","54","41"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-20","0.00","56","35"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-21","0.00","61","37"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-22","0.00","69","46"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-23","0.00","73","45"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-24","0.00","69","58"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-25","0.00","69","57"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-26","0.00","74","55"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-27","0.00","77","54"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-28","0.00","79","56"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-01","0.00","70","53"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-02","0.00","67","52"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-03","0.00","68","53"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-04","0.00","64","49"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-05","0.00","66","46"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-06","0.00","71","48"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-07","0.00","74","48"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-08","0.00","76","52"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-09","0.00","70","51"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-10","0.00","66","48"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-11","0.00","74","43"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-12","0.00","77","48"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-13","0.00","73","47"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-14","0.00","72","48"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-15","0.00","80","50"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-16","0.00","85","51"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-17","0.00","85","56"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-18","0.00","87","58"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-19","0.00","85","58"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-20","0.00","88","58"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-21","0.00","79","54"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-22","0.00","80","51"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-23","0.00","82","51"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-24","0.00","80","51"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-25","0.00","74","50"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-26","0.00","76","49"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-27","0.00","82","52"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-28","0.00","81","50"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-29","0.00","86","52"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-30","0.00","81","56"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-03-31","0.02","63","58"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-04-01","0.03","68","56"
