hour_of_day,is_rush_hour,is_weekend,route_stop_count,stop_position_pct,tmax,prcp,is_rainy,temp_range,stop_sequence,direction_id,speed_mph,is_delayed
13.0,0.0,1.0,136.0,0.024390243902439025,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
17.0,1.0,1.0,136.0,0.9512195121951219,68.0,0.0,0.0,25.0,39.0,1.0,13.0,0
16.0,1.0,1.0,136.0,0.34146341463414637,68.0,0.0,0.0,25.0,14.0,1.0,11.45,0
17.0,1.0,1.0,136.0,0.024390243902439025,68.0,0.0,0.0,25.0,1.0,1.0,0.01,0
19.0,1.0,1.0,136.0,0.8780487804878049,68.0,0.0,0.0,25.0,36.0,1.0,0.0,0
18.0,1.0,1.0,136.0,0.5609756097560976,68.0,0.0,0.0,25.0,23.0,1.0,28.9,0
20.0,0.0,0.0,136.0,0.4878048780487805,62.0,0.0,0.0,24.0,20.0,1.0,19.41,0
13.0,0.0,1.0,136.0,0.6086956521739131,68.0,0.0,0.0,25.0,28.0,0.0,31.82,0
17.0,1.0,1.0,136.0,1.0,68.0,0.0,0.0,25.0,46.0,0.0,0.07,0
17.0,1.0,1.0,136.0,0.5869565217391305,68.0,0.0,0.0,25.0,27.0,0.0,20.0,0
17.0,1.0,1.0,136.0,0.043478260869565216,68.0,0.0,0.0,25.0,2.0,0.0,7.0,0
19.0,1.0,1.0,136.0,1.0,68.0,0.0,0.0,25.0,46.0,0.0,14.93,0
19.0,1.0,1.0,136.0,0.6086956521739131,68.0,0.0,0.0,25.0,28.0,0.0,16.75,0
19.0,1.0,1.0,136.0,0.021739130434782608,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
20.0,0.0,0.0,136.0,0.021739130434782608,62.0,0.0,0.0,24.0,1.0,0.0,0.0,1
13.0,0.0,1.0,136.0,0.8169014084507042,68.0,0.0,0.0,25.0,58.0,0.0,0.0,0
13.0,0.0,1.0,136.0,0.5352112676056338,68.0,0.0,0.0,25.0,38.0,0.0,33.82,0
13.0,0.0,1.0,136.0,0.14084507042253522,68.0,0.0,0.0,25.0,10.0,0.0,28.0,0
17.0,1.0,1.0,136.0,0.8591549295774648,68.0,0.0,0.0,25.0,61.0,0.0,0.51,0
16.0,1.0,1.0,136.0,0.5352112676056338,68.0,0.0,0.0,25.0,38.0,0.0,29.7,0
17.0,1.0,1.0,136.0,0.014084507042253521,68.0,0.0,0.0,25.0,1.0,0.0,0.01,0
18.0,1.0,1.0,136.0,0.8169014084507042,68.0,0.0,0.0,25.0,58.0,0.0,19.0,0
19.0,1.0,1.0,136.0,0.5633802816901409,68.0,0.0,0.0,25.0,40.0,0.0,30.02,0
19.0,1.0,1.0,136.0,0.014084507042253521,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
20.0,0.0,0.0,136.0,0.6619718309859155,62.0,0.0,0.0,24.0,47.0,0.0,18.0,0
20.0,0.0,0.0,136.0,0.04225352112676056,62.0,0.0,0.0,24.0,3.0,0.0,9.6,0
20.0,0.0,0.0,83.0,0.42857142857142855,62.0,0.0,0.0,24.0,18.0,0.0,4.0,0
13.0,0.0,1.0,83.0,0.7073170731707317,68.0,0.0,0.0,25.0,29.0,0.0,30.31,0
13.0,0.0,1.0,83.0,0.04878048780487805,68.0,0.0,0.0,25.0,2.0,0.0,26.63,0
17.0,1.0,1.0,83.0,0.8536585365853658,68.0,0.0,0.0,25.0,35.0,0.0,18.02,0
17.0,1.0,1.0,83.0,0.14634146341463414,68.0,0.0,0.0,25.0,6.0,0.0,31.0,0
19.0,1.0,1.0,83.0,0.7804878048780488,68.0,0.0,0.0,25.0,32.0,0.0,22.32,0
